Code,Description,Default_Translation (en-en),Target_Translation (sl-si),Has_Translation
I18N_WHAT_INFORMATION_DO_WE_COLLECT_ABOUT_YOU,I18NCode for What information do we collect about you,What information do we collect about you?,Katere podatke zbiramo o vas?,Yes
I18N_WHAT_IS_A_COOKIE,I18NCode for What is a Cookie,What is a Cookie?,Kaj je piškotek?,Yes
I18N_WHAT_IS_OUR_LEGAL_BASIS_FOR_PROCESSING_YOUR_PERSONAL_DATA,I18NCode for What is our legal basis for processing your personal data,What is our legal basis for processing your personal data?,Kakšna je naša pravna podlaga za obdelavo vaših osebnih podatkov?,Yes
I18N_WHO_ARE_WE,I18NCode for Who are we,Who we are?,kdo smo,Yes
I18N_WHO_RECEIVES_YOUR_INFORMATION,I18NCode for Who receives your information,Who receives your information?,Kdo prejme vaše podatke?,Yes
I18N_WITH_LESS_THAN,"I18NCode for ""With Less than""",With Less than,Z Manj kot,Yes
I18N_WITH_THIS_MEMBERSHIP_LENGTH,I18NCode for With this Membership length,with this membership length,s to dolžino članstva,Yes
I18N_WITHOUT,I18NCode for Without,Without,brez,Yes
I18N_WITHOUT_PAYMENT,I18NCode for Without Payment,Without Payment,Brez plačila,Yes
I18N_WORLD_RANK,I18NCode for World Rank ,World Rank,Svetovni rang,Yes
I18N_WRITE_A_MESSAGE,I18NCode for Write a message,Write a message,Napišite sporočilo,Yes
I18N_WRITE_THE_MESSAGE_TO_SEND_TO_EVERYONE,I18NCode for Write the message to send to everyone,Write the message to send to everyone,"Napišite sporočilo, ki ga želite poslati vsem",Yes
I18N_WRONG_FILE_SELECTED,I18NCode for Wrong File Selected,Error selecting file.,Napaka pri izbiri datoteke.,Yes
I18N_YEAR,I18NCode for Year,Year,leto,Yes
I18N_YEARMONTH,I18NCode for YearMonth,YearMonth,LetoMesec,Yes
I18N_YEARS,I18NCode for Years,Years,leta,Yes
I18N_YES,I18NCode for Yes,Yes,ja,Yes
I18N_YLW,I18NCode for #Ylw on table label,#Ylw,#Ylw,Yes
I18N_YOU_HAVE_BEEN_INVITED_TO_REGISTER_WITH_REPORTING2YOU_,I18NCode for You have been invited to register with Reporting2You.,You have been invited to register with Reporting2You.,Povabljeni ste bili k registraciji pri Reporting2You.,Yes
I18N_YOU_HAVE_NO_SPONSORED,I18NCode for You have no sponsored,You have no sponsored,Nimate sponzoriranih,Yes
I18N_YOU_WILL_BE_REDIRECTED_TO_THE_LOGIN_PAGE_IN,I18NCode for You will be redirected to the login page in,You will be redirected to the login page in,Preusmerjeni boste na stran za prijavo v,Yes
I18N_YOUR_CHAPTER,i18NCode for Your Chapter,Your Chapter,Vaše poglavje,Yes
I18N_YOUR_GOAL,I18NCode represent % of your goal,% of goal,% cilja,Yes
I18N_YOUR_SESSION_WILL_BE_INACTIVE_IN,I18NCode for Your session will be inactive in,Your session will be inactive in,Vaša seja bo neaktivna v,Yes
I18N_ZERO_ONE_TO_ONES_PER_WEEK,I18NCode for ZeroOneToOne per Week,Zero one to ones per week,Nič ena proti ena na teden,Yes
I18N_ZERO_REFERRALS,I18NCode for Zero Referrals,Zero Referrals,Nič priporočil,Yes
I18N_ZERO_REFERREALS_PER_WEEK,I18NCode for ZEROReferrals,Zero referrals per Week,Nič priporočil na teden,Yes
I18N_ZERO_TO_ONE,I18NCode for Zero To One´s Section in Region Retention Growth,Zero-to-Ones,Nič proti ena,Yes
I18N_ZERO_TYFCB_PER_WEEK,I18NCode for Zero TYFCB per Week,Zero TYFCB per week,Nič TYFCB na teden,Yes
I18N_ZERO_VISITS_PER_WEEK,I18NCode for ZeroVisits per Week,Zero visitors per month,Nič obiskovalcev na mesec,Yes
I18N_ZEROOTO_W,I18NCode for ZeroOTO/week,ZeroOTO/W,ZeroOTO/W,Yes
I18N_ZEROTYFCB_W,I18NCode for ZeroTYFCB/week,ZeroTYFCB/W,ZeroTYFCB/W,Yes
I18N_ZEROVIS_M,I18NCode for ZeroVIS/month,ZeroVIS/M,ZeroVIS/M,Yes
I18N_ZIP_CODE,I18NCode for Zip Code,Zip Code,Poštna številka,Yes
